formation_date,bucket,mean_forward_return,median_forward_return,count,bucket_label,observed_return_count,target_date,missing_return_count,return_coverage,observed_only_mean_forward_return,observed_only_median_forward_return,requested_quantiles
2015-01-05,1,0.0251354702871409,0.023293172690763,213,Q1,213,2015-01-06,0,1.0,0.0251354702871409,0.023293172690763,10
2015-01-06,1,0.0001106818115041,-0.0059386341141538,213,Q1,213,2015-01-07,0,1.0,0.0001106818115041,-0.0059386341141538,10
2015-01-07,1,,,213,Q1,212,2015-01-08,1,0.9953051643192488,0.0040473729096605,0.0001938735944164,10
2015-01-08,1,,,213,Q1,212,2015-01-09,1,0.9953051643192488,-0.006081836184303,-0.0087226661899453,10
2015-01-09,1,-0.0181598079930653,-0.0254777070063694,213,Q1,213,2015-01-12,0,1.0,-0.0181598079930653,-0.0254777070063694,10
2015-01-12,1,,,213,Q1,212,2015-01-13,1,0.9953051643192488,0.0199454756587056,0.0168055738552664,10
2015-01-13,1,-0.0045878568249387,-0.0057765376642768,212,Q1,212,2015-01-14,0,1.0,-0.0045878568249387,-0.0057765376642768,10
2015-01-14,1,,,213,Q1,212,2015-01-15,1,0.9953051643192488,0.0075602246718202,0.0057756380966993,10
2015-01-15,1,,,212,Q1,211,2015-01-16,1,0.9952830188679244,0.0148969239489031,0.0131712259371834,10
2015-01-16,1,,,213,Q1,211,2015-01-19,2,0.9906103286384976,-0.0147927060135474,-0.0180965147453082,10
2015-01-19,1,,,212,Q1,210,2015-01-20,2,0.9905660377358492,0.0388998125678984,0.036697247706422,10
2015-01-20,1,0.0257349378438108,0.0228940403053412,212,Q1,212,2015-01-21,0,1.0,0.0257349378438108,0.0228940403053412,10
2015-01-21,1,,,212,Q1,210,2015-01-22,2,0.9905660377358492,0.0176491107418803,0.0134228237886776,10
2015-01-22,1,,,213,Q1,211,2015-01-23,2,0.9906103286384976,-0.0066147380745163,-0.0136452241715399,10
2015-01-23,1,,,213,Q1,209,2015-01-26,4,0.9812206572769951,0.0222536676812985,0.0192982456140349,10
2015-01-26,1,0.0119439431088536,0.0040214477211795,213,Q1,213,2015-01-27,0,1.0,0.0119439431088536,0.0040214477211795,10
2015-01-27,1,,,214,Q1,213,2015-01-28,1,0.9953271028037384,0.0051000021748228,0.0,10
2015-01-28,1,,,214,Q1,213,2015-01-29,1,0.9953271028037384,-0.0017672609459007,-0.0066225165562914,10
2015-01-29,1,-0.0073071194970171,-0.0118798565451285,214,Q1,214,2015-01-30,0,1.0,-0.0073071194970171,-0.0118798565451285,10
2015-01-30,1,,,214,Q1,213,2015-02-02,1,0.9953271028037384,0.0024749667270519,-0.0007645259938838,10
2015-02-02,1,0.0201611596420109,0.0157618213660244,213,Q1,213,2015-02-03,0,1.0,0.0201611596420109,0.0157618213660244,10
2015-02-03,1,,,214,Q1,213,2015-02-04,1,0.9953271028037384,0.0023326142485713,-0.0031460674157304,10
2015-02-04,1,,,214,Q1,213,2015-02-05,1,0.9953271028037384,-0.0036302828965771,-0.006935687263556,10
2015-02-05,1,-0.0186219300111172,-0.0220930232558139,213,Q1,213,2015-02-06,0,1.0,-0.0186219300111172,-0.0220930232558139,10
2015-02-06,1,,,213,Q1,211,2015-02-09,2,0.9906103286384976,-0.0063892951442342,-0.0060606060606059,10
2015-02-09,1,,,213,Q1,212,2015-02-10,1,0.9953051643192488,0.0094697432998595,0.0069719924685957,10
2015-02-10,1,,,213,Q1,212,2015-02-11,1,0.9953051643192488,0.0139447376898059,0.0099675438966669,10
2015-02-11,1,0.0126434044491212,0.0095923813029076,214,Q1,214,2015-02-12,0,1.0,0.0126434044491212,0.0095923813029076,10
2015-02-12,1,0.0187482693080354,0.0154621319861343,214,Q1,214,2015-02-13,0,1.0,0.0187482693080354,0.0154621319861343,10
2015-02-13,1,,,214,Q1,212,2015-02-16,2,0.9906542056074766,0.0193836379805762,0.0165283664128316,10
2015-02-16,1,0.0052563303287206,0.0012953367875647,215,Q1,215,2015-02-17,0,1.0,0.0052563303287206,0.0012953367875647,10
2015-02-17,1,,,218,Q1,217,2015-02-25,1,0.9954128440366972,0.0095847270683238,0.0020040080160319,10
2015-02-25,1,0.0139821596382951,0.007554945054945,217,Q1,217,2015-02-26,0,1.0,0.0139821596382951,0.007554945054945,10
2015-02-26,1,0.0174927196179968,0.0108932461873638,217,Q1,217,2015-02-27,0,1.0,0.0174927196179968,0.0108932461873638,10
2015-02-27,1,,,217,Q1,213,2015-03-02,4,0.9815668202764976,0.0256218022256032,0.0190325138778746,10
2015-03-02,1,8.976485600059669e-05,-0.0083333333333331,217,Q1,217,2015-03-03,0,1.0,8.976485600059669e-05,-0.0083333333333331,10
2015-03-03,1,0.0241148144952975,0.0191003541333002,216,Q1,216,2015-03-04,0,1.0,0.0241148144952975,0.0191003541333002,10
2015-03-04,1,,,216,Q1,215,2015-03-05,1,0.9953703703703703,0.0164791985927793,0.0097192224622029,10
2015-03-05,1,-0.0061443412580559,-0.0126796280642433,215,Q1,215,2015-03-06,0,1.0,-0.0061443412580559,-0.0126796280642433,10
2015-03-06,1,,,215,Q1,214,2015-03-09,1,0.9953488372093025,0.011911047086941,0.0101446230666178,10
2015-03-09,1,0.0167890333132627,0.0120336943441634,215,Q1,215,2015-03-10,0,1.0,0.0167890333132627,0.0120336943441634,10
2015-03-10,1,,,215,Q1,214,2015-03-11,1,0.9953488372093025,0.0071564870939629,-0.0010040780535852,10
2015-03-11,1,,,215,Q1,214,2015-03-12,1,0.9953488372093025,-0.00348944135686,-0.0083375461301247,10
2015-03-12,1,,,215,Q1,213,2015-03-13,2,0.9906976744186048,0.017233683247001,0.0118181818181819,10
2015-03-13,1,,,214,Q1,213,2015-03-16,1,0.9953271028037384,0.0320196124551264,0.0288065843621398,10
2015-03-16,1,0.0185382782183582,0.0134663341645886,213,Q1,213,2015-03-17,0,1.0,0.0185382782183582,0.0134663341645886,10
2015-03-17,1,0.022181858214815,0.0159080866106937,213,Q1,213,2015-03-18,0,1.0,0.022181858214815,0.0159080866106937,10
2015-03-18,1,,,213,Q1,211,2015-03-19,2,0.9906103286384976,0.0151461994357847,0.0066707095209219,10
2015-03-19,1,0.0156281779188908,0.0079858030168589,213,Q1,213,2015-03-20,0,1.0,0.0156281779188908,0.0079858030168589,10
2015-03-20,1,,,213,Q1,207,2015-03-23,6,0.971830985915493,0.0306752144746358,0.0209163346613545,10
2015-03-23,1,,,213,Q1,211,2015-03-24,2,0.9906103286384976,0.0028453202240926,-0.011764705882353,10
2015-03-24,1,,,213,Q1,212,2015-03-25,1,0.9953051643192488,0.0228125308455217,0.0163569483590501,10
2015-03-25,1,,,213,Q1,211,2015-03-26,2,0.9906103286384976,-0.0002168370229106,-0.0086898395721927,10
2015-03-26,1,,,212,Q1,210,2015-03-27,2,0.9905660377358492,0.0228344081003057,0.0144438123103596,10
2015-03-27,1,,,213,Q1,211,2015-03-30,2,0.9906103286384976,0.0096122743340652,0.0029197080291971,10
2015-03-30,1,0.0082573629136153,0.0009699321047527,211,Q1,211,2015-03-31,0,1.0,0.0082573629136153,0.0009699321047527,10
2015-03-31,1,,,212,Q1,210,2015-04-01,2,0.9905660377358492,0.0290271925333309,0.0197787157920514,10
2015-04-01,1,,,212,Q1,211,2015-04-02,1,0.9952830188679244,0.0337164244830394,0.0280495759947814,10
2015-04-02,1,0.033560342285355,0.0271487833119079,212,Q1,212,2015-04-03,0,1.0,0.033560342285355,0.0271487833119079,10
2015-04-03,1,,,213,Q1,212,2015-04-07,1,0.9953051643192488,0.0238375394343432,0.0200871009392116,10
2015-04-07,1,-0.0055292279983159,-0.0186505778057695,212,Q1,212,2015-04-08,0,1.0,-0.0055292279983159,-0.0186505778057695,10
2015-04-08,1,,,212,Q1,211,2015-04-09,1,0.9952830188679244,-0.0053932326479244,-0.0221518987341774,10
2015-04-09,1,0.0331283195607371,0.0264350453172206,211,Q1,211,2015-04-10,0,1.0,0.0331283195607371,0.0264350453172206,10
2015-04-10,1,,,211,Q1,210,2015-04-13,1,0.995260663507109,0.0284218311287439,0.0225456281369869,10
2015-04-13,1,0.0037314810361476,-0.0069605568445475,211,Q1,211,2015-04-14,0,1.0,0.0037314810361476,-0.0069605568445475,10
2015-04-14,1,,,211,Q1,208,2015-04-15,3,0.985781990521327,-0.0378903889012052,-0.0504255252792651,10
2015-04-15,1,0.0098798232244984,0.0054736495487272,210,Q1,210,2015-04-16,0,1.0,0.0098798232244984,0.0054736495487272,10
2015-04-16,1,,,210,Q1,209,2015-04-17,1,0.9952380952380953,0.0053040091569324,0.0011976047904191,10
2015-04-17,1,,,210,Q1,209,2015-04-20,1,0.9952380952380953,-0.0237947584430965,-0.0347826086956521,10
2015-04-20,1,,,210,Q1,209,2015-04-21,1,0.9952380952380953,0.0439019506473218,0.0390390390390391,10
2015-04-21,1,,,211,Q1,209,2015-04-22,2,0.990521327014218,0.0346571161725321,0.0276766205389658,10
2015-04-22,1,0.0194990860599679,0.0084308623754998,212,Q1,212,2015-04-23,0,1.0,0.0194990860599679,0.0084308623754998,10
2015-04-23,1,0.0127210033052851,-0.0002613012803763,213,Q1,213,2015-04-24,0,1.0,0.0127210033052851,-0.0002613012803763,10
2015-04-24,1,,,214,Q1,213,2015-04-27,1,0.9953271028037384,0.0212332254313073,0.0083487940630797,10
2015-04-27,1,,,214,Q1,213,2015-04-28,1,0.9953271028037384,-0.0207231236508041,-0.0396166134185305,10
2015-04-28,1,,,215,Q1,214,2015-04-29,1,0.9953488372093025,0.0383932156857994,0.0280311871962272,10
2015-04-29,1,,,215,Q1,210,2015-04-30,5,0.9767441860465116,0.0147303878406244,0.0026865061595194,10
2015-04-30,1,,,215,Q1,213,2015-05-04,2,0.9906976744186048,0.0241875993777762,0.0142857142857142,10
2015-05-04,1,,,214,Q1,212,2015-05-05,2,0.9906542056074766,-0.0128882173576328,-0.0253326107719497,10
2015-05-05,1,,,213,Q1,209,2015-05-06,4,0.9812206572769951,-0.002789963665016,-0.0107172300082439,10
2015-05-06,1,,,213,Q1,212,2015-05-07,1,0.9953051643192488,-0.0172967435386038,-0.0301948326852015,10
2015-05-07,1,,,213,Q1,212,2015-05-08,1,0.9953051643192488,0.0531702435786572,0.0492693221000584,10
2015-05-08,1,0.0558717494748746,0.0495464061409629,213,Q1,213,2015-05-11,0,1.0,0.0558717494748746,0.0495464061409629,10
2015-05-11,1,,,214,Q1,212,2015-05-12,2,0.9906542056074766,0.030345122319468,0.0216152631180721,10
2015-05-12,1,,,215,Q1,214,2015-05-13,1,0.9953488372093025,0.0236581546730845,0.0111910985823128,10
2015-05-13,1,,,214,Q1,212,2015-05-14,2,0.9906542056074766,0.0331870926421093,0.0244864020996424,10
2015-05-14,1,,,214,Q1,213,2015-05-15,1,0.9953271028037384,0.0115722785886659,0.0008554319931566,10
2015-05-15,1,,,215,Q1,214,2015-05-18,1,0.9953488372093025,0.0454212940921564,0.0433799511790259,10
2015-05-18,1,,,214,Q1,213,2015-05-19,1,0.9953271028037384,0.0351948687670864,0.0269935611688953,10
2015-05-19,1,0.0304919462112552,0.023683630588253,214,Q1,214,2015-05-20,0,1.0,0.0304919462112552,0.023683630588253,10
2015-05-20,1,,,215,Q1,213,2015-05-21,2,0.9906976744186048,0.0467585934786898,0.0346657233816767,10
2015-05-21,1,0.0325575473427901,0.0276147505179897,214,Q1,214,2015-05-22,0,1.0,0.0325575473427901,0.0276147505179897,10
2015-05-22,1,,,213,Q1,212,2015-05-25,1,0.9953051643192488,0.0401641782950376,0.0329427383975986,10
2015-05-25,1,0.0558695359829772,0.0509009009009009,211,Q1,211,2015-05-26,0,1.0,0.0558695359829772,0.0509009009009009,10
2015-05-26,1,0.036445232286653,0.0304116648536598,212,Q1,212,2015-05-27,0,1.0,0.036445232286653,0.0304116648536598,10
2015-05-27,1,-0.0326243358089393,-0.0564579648144905,212,Q1,212,2015-05-28,0,1.0,-0.0326243358089393,-0.0564579648144905,10
2015-05-28,1,,,212,Q1,209,2015-05-29,3,0.9858490566037736,0.0275364129264596,0.015963511972634,10
2015-05-29,1,,,212,Q1,209,2015-06-01,3,0.9858490566037736,0.0682229922060426,0.0668732248902661,10
2015-06-01,1,,,210,Q1,209,2015-06-02,1,0.9952380952380953,0.065553767112286,0.0675944333996023,10
2015-06-02,1,,,210,Q1,208,2015-06-03,2,0.9904761904761904,0.0302463448231797,0.0220623993191696,10
2015-06-03,1,,,210,Q1,208,2015-06-04,2,0.9904761904761904,0.0069446967167617,-0.0150418888042651,10
2015-06-04,1,0.0358987343245015,0.0263636363636363,211,Q1,211,2015-06-05,0,1.0,0.0358987343245015,0.0263636363636363,10
2015-06-05,1,,,210,Q1,208,2015-06-08,2,0.9904761904761904,0.0020963594918463,-0.0130727147372473,10
2015-06-08,1,,,209,Q1,203,2015-06-09,6,0.971291866028708,0.0121457397990606,0.0080124063065392,10
2015-06-09,1,,,209,Q1,208,2015-06-10,1,0.9952153110047848,0.0389596979208546,0.0327134975661634,10
2015-06-10,1,,,210,Q1,209,2015-06-11,1,0.9952380952380953,0.0436686815058887,0.0394349617422014,10
2015-06-11,1,,,210,Q1,209,2015-06-12,1,0.9952380952380953,0.040882942215332,0.0361256544502617,10
2015-06-12,1,,,210,Q1,208,2015-06-15,2,0.9904761904761904,0.0003912612225602,-0.0089984491326297,10
2015-06-15,1,,,210,Q1,209,2015-06-16,1,0.9952380952380953,-0.0265585311237001,-0.0506756756756757,10
2015-06-16,1,,,211,Q1,210,2015-06-17,1,0.995260663507109,0.0340653780491879,0.0279118303193828,10
2015-06-17,1,-0.0258910325663767,-0.0432584269662921,211,Q1,211,2015-06-18,0,1.0,-0.0258910325663767,-0.0432584269662921,10
2015-06-18,1,,,211,Q1,210,2015-06-19,1,0.995260663507109,-0.0642759949498909,-0.0981281778231069,10
2015-06-19,1,0.011262646860788,0.0070961718020541,211,Q1,211,2015-06-23,0,1.0,0.011262646860788,0.0070961718020541,10
2015-06-23,1,,,212,Q1,211,2015-06-24,1,0.9952830188679244,0.0310635245897256,0.0271535580524344,10
2015-06-24,1,-0.034789243336902,-0.0480949406620863,213,Q1,213,2015-06-25,0,1.0,-0.034789243336902,-0.0480949406620863,10
2015-06-25,1,-0.0837675369733204,-0.0999822095712505,213,Q1,213,2015-06-26,0,1.0,-0.0837675369733204,-0.0999822095712505,10
2015-06-26,1,,,214,Q1,213,2015-06-29,1,0.9953271028037384,-0.0838018848884681,-0.0999115826702033,10
2015-06-29,1,0.044187688125456,0.0465801886792451,213,Q1,213,2015-06-30,0,1.0,0.044187688125456,0.0465801886792451,10
2015-06-30,1,-0.0608608921542392,-0.0941794471068691,212,Q1,212,2015-07-01,0,1.0,-0.0608608921542392,-0.0941794471068691,10
2015-07-01,1,,,213,Q1,211,2015-07-02,2,0.9906103286384976,-0.0728548669173064,-0.0998471726948546,10
2015-07-02,1,-0.0721544425657266,-0.0998019801980197,211,Q1,211,2015-07-03,0,1.0,-0.0721544425657266,-0.0998019801980197,10
2015-07-03,1,,,206,Q1,205,2015-07-06,1,0.9951456310679612,-0.0674256467579916,-0.0995391705069124,10
2015-07-06,1,,,202,Q1,188,2015-07-07,14,0.9306930693069309,-0.0868596933605786,-0.0999335806344769,10
2015-07-07,1,,,186,Q1,147,2015-07-08,39,0.7903225806451613,-0.0631670645356707,-0.0996978851963746,10
2015-07-08,1,,,136,Q1,120,2015-07-09,16,0.8823529411764706,0.0967722993212896,0.1,10
2015-07-09,1,,,125,Q1,122,2015-07-10,3,0.976,0.0979972984460588,0.1,10
2015-07-10,1,,,130,Q1,129,2015-07-13,1,0.9923076923076924,0.096295747387667,0.0999999999999998,10
2015-07-13,1,0.0668757878089035,0.0996145277249025,162,Q1,162,2015-07-14,0,1.0,0.0668757878089035,0.0996145277249025,10
2015-07-14,1,,,184,Q1,183,2015-07-15,1,0.9945652173913044,-0.0493290692193774,-0.0995762711864405,10
2015-07-15,1,,,192,Q1,191,2015-07-16,1,0.9947916666666666,0.0197138332329204,0.0225422667501564,10
2015-07-16,1,0.077503864098916,0.0773763092979945,194,Q1,194,2015-07-17,0,1.0,0.077503864098916,0.0773763092979945,10
2015-07-17,1,,,197,Q1,196,2015-07-20,1,0.9949238578680204,0.0331319708846116,0.0271321905563151,10
2015-07-20,1,,,202,Q1,201,2015-07-21,1,0.995049504950495,0.0397465120705227,0.0318107667210441,10
2015-07-21,1,0.0215359884205829,0.0113452188006482,205,Q1,205,2015-07-22,0,1.0,0.0215359884205829,0.0113452188006482,10
2015-07-22,1,,,206,Q1,203,2015-07-23,3,0.9854368932038836,0.0603800658532996,0.0564971751412428,10
2015-07-23,1,-0.0064506152417611,-0.0221177445042651,206,Q1,206,2015-07-24,0,1.0,-0.0064506152417611,-0.0221177445042651,10
2015-07-24,1,,,206,Q1,204,2015-07-27,2,0.9902912621359224,-0.0868802884678306,-0.0999405526152611,10
2015-07-27,1,-0.0547607911834979,-0.065620542082739,205,Q1,205,2015-07-28,0,1.0,-0.0547607911834979,-0.065620542082739,10
2015-07-28,1,0.0758593692029184,0.079974954164851,206,Q1,206,2015-07-29,0,1.0,0.0758593692029184,0.079974954164851,10
2015-07-29,1,-0.025856904121245,-0.0292397660818712,207,Q1,207,2015-07-30,0,1.0,-0.025856904121245,-0.0292397660818712,10
